urlOfProject,nameOfProject,descriptionOfProject,problemSolved,challengesFaced,technologiesUsed
https://devfolio.co/projects/watch-aman-ramgarhia-alleged-leaked-viral-ac0e,WATCH @Aman Ramgarhia Alleged Leaked VIRAL MMS Vid,Discover who Aman Ramgarhia is and the controversy surrounding her viral MMS video. Explore the impact of social media fame on privacy and the ethical questions it raises.,,,"Aman Ramgarhia MMS video leak, Aman Ramgarhia viral video controversy, Viral intimate video of Aman Ramgarhia, Aman Ramgarhia Viral MMS"
https://devfolio.co/projects/ksrtc-live-location-tracking-system-c00a,KSRTC Live Location Tracking System,A GPS module interfaced with a microcontroller; installed on all buses that sends information using a WiFi module to a website that displays the live location of buses according to users' request.,,,"HTML, Bootstrap, CSS, JavaScript, Templates"
https://devfolio.co/projects/timetablegeneratorusingpython-bb13,Time-Table-Generator-using-python,Generate Timetable easily using Python in html format.,,,"HTML, Python"
https://devfolio.co/projects/chillquest-3414,ChillQuest,"ChillQuest is an interactive multiplayer game that combines education and entertainment. Players solve cryptographic and blockchain-related puzzles to escape virtual rooms, with zero-knowledge proof",,,"Solidity, Figma, Adobe Illustrator, Rust, next, Etherjs, Ts, PhaserJs, SP1, succinct, bhuttag9839, Meta Ads"
https://devfolio.co/projects/cat-town-45ca,Cat Town,"Cat Town aims to be an accessible, fair, onchain, transparent and open, play-to-earn (with revenue sharing) and NFT collectible game with inspiration from Stardew Valley, Animal Crossing & Diablo 2.",,,"Solidity, Nodejs, nextjs, Aseprite, alchemy, RainbowKit, CloudFlare Workers, Smart wallet, OnchainKit, Homebrewed Canvas Engine"
https://devfolio.co/projects/duckchat-a-better-alternative-to-omegle-7031,Duckchat - A better alternative to Omegle,Connect with strangers anonymously within seconds ⚡,,,"React, Node.js, WebSockets"
https://devfolio.co/projects/darth-vdr-virtual-data-room,Darth VDR - Virtual Data Room,Darth VDR allows computations on private data through proprietary algorithms in isolated virtual data rooms of a regulated entity without exposing the data or the algorithms to the opposite party.,,,"React, Node.js, Java, Docker, AWS Lambda, Python, AWS, PostgreSQL, Spring, AWS Fargate"
https://devfolio.co/projects/standnote-1,StandNote,Turning Conversations Into Actions,,,"React, JavaScript, Machine Learning, Python, NLP, django-rest-framework, NLTK for text summarization, Chrome Extension"
https://devfolio.co/projects/subhashree-onlyfans-1fd1,subhashree sahu leaked videos,The viral video of ﻿Subhashree Sahu Nudes emerging online has amassed tremendous views across fan accounts and social media sites with one video clip. The viral video circulating recently shows ﻿Subh,,,"viral 2024, viral, onlyfans"
https://devfolio.co/projects/full-hd-video-of-gia-duddys-tape-with-will-levi-9adf,Full HD video of Gia Duddy’s tape with Will Levi,Full HD video of Gia Duddy’s tape with Will Levi,,,Bobble AI
https://devfolio.co/projects/dukaanai-8def,dukaan.ai,Revolutionize Retail: Smart Solutions for Optimized Shelf Space Management,,,"Django, Augmented Reality, Artificial Intelligence, HTML/CSS"
https://devfolio.co/projects/secai,Secai,Build ➤ Share ➤ Run. Let us worry about its security and execution platform! - Secure Decentralized Project Demonstration Platform Secai. 🌏,,,"Solidity, IPFS, React, JavaScript, WebAssembly, Matic, web3.js, Portis"
https://devfolio.co/projects/alfred,Alfred,"Alfred takes care of your loved ones behind your back, while making it a fun daily activity for them. Detect onset of medical conditions before it is too late.",,,"Firebase, Android, Machine Learning"
https://devfolio.co/projects/iot-based-smart-bottle-for-healthcare,IoT based Smart Bottle For Healthcare.,This project aims to remotely monitor the electrolyte’s bottle level of the patient and control the flow of the drip infusion system through Internet of Things.,,,"Firebase, Android Studio, Internet of Things (IoT), NodeMCU, Arduino IDE, Sensors"
https://devfolio.co/projects/muscleai,Muscle.ai,a machine learning based virtual fitness trainer,,,"Node.js, JS, JSON, Posenet, Chart.js"
https://devfolio.co/projects/smart-parking-app,Smart Parking App,A simple app for making parking of vehicles more efficient and increasing their safety meanwhile reducing the time taken and overall cost.,,,"Firebase, Java, Android Studio, Dart, Flutter, Firestore"
https://devfolio.co/projects/chain-realities-bringing-nfts-to-life-7a55,Dynamic NFTs,"Chain Reality empowers users to seamlessly create and sell Dynamic NFTs.
By expanding the scope of NFT applications we aim to aid the Decentral Revolution.",,,"HTML, React, JavaScript, Rust, TypeScript, Blockchain"
https://devfolio.co/projects/vlc-controller-using-hand-gesture-recognition,VLC Controller using Hand Gesture Recognition,Controlling videos using hand gestures rather than the traditional touchpad system.,,,"NumPy, OpenCV"
https://devfolio.co/projects/land-registration-using-blockchain-5055,Land Registration using Blockchain,We aim to make our project a single source of truth for property registration and Ownership transfer using Blockchain technology.,,,"Solidity, IPFS, Flutter, web3dart, Polygon, Filecoin"
https://devfolio.co/projects/flowcosmos-aecc,Flowcosmos - DEX Aggregator,A decentralized exchange (DEX) aggregator that sources liquidity from various exchanges and is capable of splitting a single trade transaction across multiple DEXes.,,,Defi
https://devfolio.co/projects/fourth-wing-xaden-pov-bonus-chapter-pdf-f173,Fourth wing xaden pov bonus chapter pdf,Fourth wing xaden pov bonus chapter pdf,,,Python
https://devfolio.co/projects/driver-drowsiness-alert-app,Driver Drowsiness Alert App,"Save Life, Save Journey",,,"Machine Learning, Java, Android Studio, Google Mobile Vision"
https://devfolio.co/projects/daignos,DAIGNOS,An application which automates quick diagnosis of some diseases using AI,,,"Firebase, TensorFlow, Flutter"
https://devfolio.co/projects/healthcare-management-system-c435,Healthcare Management System,"The Hospital of the Future, Today!",,,"PHP, CSS, JavaScript, XAMPP, GitHub, phpMyAdmin, Adobe Illustrator, Tailwind CSS, HTML5​, Bootstrap​"
https://devfolio.co/projects/dassi-finance-804f,Dassi Finance,First Zero Interest Micro-lending Blockchain Platform,,,"React, JavaScript, CSS3, Express.js, Rust, MongoDB, HTML5​, Web3js, Solana, SPL-program"
https://devfolio.co/projects/will-levis-gia-duddy-leaked-video-viral-full-on-so-af7f,Will Levis Gia Duddy Leaked Video Viral Full On So,Will Levis Gia Duddy Leaked Video Viral Full On So,,,Bobble AI
https://devfolio.co/projects/change-case-chrome-extension-cd5d,Change Case Chrome Extension,"It changes the case of selected text in a webpage to lowercase, uppercase or Sentence case.",,,"HTML, Visual Studio Code, CSS, JavaScript, Git, GitHub, JSON, Chrome Extension, taggame, tag game"
https://devfolio.co/projects/netflix-clone-in-react-js-bef9,Netflix Clone in React JS,A netflix clone developed using React JS. You cannot watch the movie or a TV show but can watch the trailers.,,,"JavaScript, REST API, Redux, Firestore, Firebase Authentication, React Router, React.js, Framer-Motion, HTML5​, styled-components, Instagram-clone"
https://devfolio.co/projects/nfl-imperialism-map-editable-free-pdf-334e,Nfl imperialism map editable free pdf,Nfl imperialism map editable free pdf,,,Python
https://devfolio.co/projects/gasless-wallet-b236,Gasless wallet,Gasless wallet - EVM Blockchain agnostic wallet that allows users to pay transactions fee in any ERC20 tokens.,,,"OpenZeppelin, MetaMask, Infura, ethers.js, blocknative, Uniswap, Truffle Suite, Ethereum create2, gas station network"
https://devfolio.co/projects/convert-lcpdf-to-pdf-e441,Convert lcpdf to pdf,Convert lcpdf to pdf,,,Python
https://devfolio.co/projects/inquera-8e8c,InQuera,A Crowdsourcing website so that an indivisual can get-help\do-help a community,,,"MERN stack, Tailwind CSS"
https://devfolio.co/projects/workoutright,WorkoutRight,A Digital Personal Trainer,,,"HTML, GraphQL, p5.js, Posenet"
https://devfolio.co/projects/nugget-clicker,Nugget Clicker,An automatic script using Selenium and Python that facilitates the process of getting free chicken nuggets from McDonald's by scanning the survey code to get the validation code through web scraping,,,"HTML, Selenium, Python"
https://devfolio.co/projects/zeropass,ZeroPass,Forget your password. Bringing biometric login to a website near you!,,,"Cryptography, React, Python, Blockchain, Webauthn"
https://devfolio.co/projects/swaasth-health-tracker-02ee,'SWAASTH Health Tracker',Our Device 'SWAASTH Health Tracker' is a one stop solution for  Monitoring Vital Health Parameters which are necessary for the treatment of any Human Being.,,,"Cloud computing, Neural Network, Iot, Ml"
https://devfolio.co/projects/extremechat-95c0,Extreme-Chat,Protect data from getting leaked,,,"Java, Socket Programming, Java Swing"
https://devfolio.co/projects/uniplix-716f,UNIPLIX,Mirage of the Universe,,,"Figma, Adobe Photoshop, Adobe Software"
https://devfolio.co/projects/accident-detection-app,Accident Detection App,"The main objective of this project is that when the user of this application meets with an accident, three emergency contacts will be notified with SMS alert along with location of the accident.",,,"Java, Android Studio, XML, JSON"
https://devfolio.co/projects/farmer-ally-f76d,Farmer Ally,Making farmers empowered,,,"React, Node.js, Flask, TensorFlow, Keras, Machine Learning, MongoDB, Ethereum, Agora SDK, Alan AI"
https://devfolio.co/projects/web-chess-1fc9,Web3 Chess,Play and Earn in Chess. Mint Your Chess Match. Get NFT rewards.,,,"Solidity, IPFS, React, OpenZeppelin, Tailwind CSS, NFT, Hardhat, Polygon, moralis, chess.js"
https://devfolio.co/projects/finance-tracker,404,"Participate in a hackathon or even better, host one. Learn new skills, build things & get hired.",,,
https://devfolio.co/projects/lockdown-epass-generator,Lockdown E-pass Generator,Get your E-pass in this Lockdown in few steps!,,,"CSS, Django, HTML5, SQLite"
https://devfolio.co/projects/summaryscape,SummaryScape,NLP-driven YouTube Video Summarising Android Application,,,"Android, Python, Kotlin, NLP"
https://devfolio.co/projects/anihelp-15e1,AniHelp,A Pet Away From Home,,,"React, CSS, TypeScript, Firebase Firestore, Flutter(Dart), HTML5​"
https://devfolio.co/projects/fps-fake-product-scanner,FPS (fake product scanner),FPS is a mobile app that allows the manufacturer to track their products. The project uses the blockchain technology to identify fake products. The users can scan product Qr to identify. #FINTECH,,,"Firebase, Dart, Matic, xd, Truffle Suite"
https://devfolio.co/projects/sugar-defender-directions-067e,Sugar Defender Directions,"How to Use Sugar Defender
Dosage: The recommended dosage for Sugar Defender is one milliliter (1 ml) per day.",,,"Sugar Defender, Sugar Defender Reviews, Sugar Defender Amazon, Sugar Defender Reviews and Complaints, sugar defender walmart, sugar defender walmart price"
https://devfolio.co/projects/digibag-6f5d,DigiBag,"Our product is a replacement for Wallet.
We call this specialized Wallet a ""BAG"" that keeps and displays digital merch as NFTs.",,,"Next.js, WebGL, TypeScript, NFT, Vercel, Magic, React-three-fiber, Cadence, flow, Crypto Wallet"
https://devfolio.co/projects/note-maker,Note Maker,A simple app to organise your notes,,,"Bootstrap, Node.js, CSS, JavaScript, HTML5, Express.js, Multer, MongoDB Atlas, font awesome"
https://devfolio.co/projects/labour-chowk-56d2,Labour Chowk,Eliminating the rush in the market to find workers and labours at right time.,,,"HTML, Node.js, JavaScript, Embedded Javascript (EJS), SASS, GitHub, CSS3, Express.js, MongoDB, Twilio"
https://devfolio.co/projects/banana-smart-wallet-efca,Banana Smart Wallet,2FA of Txs with Account Abstraction,,,"React, Zero-Knowledge Proofs (ZKPs), Gnosis Chain, EF: Account Abstraction, Snarkjs, erc 4337, sercom"
https://devfolio.co/projects/farm-business-4a68,Farm Business,Bridging the gap between Farmers and Big Companies,,,"JavaScript, Embedded Javascript (EJS), SASS, CSS3, Express.js, MongoDB, Tailwind CSS, Nodejs, HTML5​"
https://devfolio.co/projects/hinglish-transcriber-6d2a,Hinglish Transcriber,English Vinglish,,,"Flask, NumPy, Speech Recognition, NetworkX, nltk, Translation API, HTML5​, Bootstrap​, youtube-dl, deep_translator"
https://devfolio.co/projects/portfolio-website-1,Portfolio Website,My portfolio website : https://www.alisolanki.gq,,,"PHP, Visual Studio Code, CSS, JavaScript, HTML5"
https://devfolio.co/projects/la-penna-e-la-voce-soluzioni-pdf-b6d2,La penna e la voce soluzioni pdf,La penna e la voce soluzioni pdf,,,Python
https://devfolio.co/projects/allprojects-b535,All_Projects,Projects at one address,,,"React, Node.js, Express.js, MongoDB, mongoose"
https://devfolio.co/projects/la-fe-en-la-oracion-oraciones-pdf-ba7b,La fe en la oración 132 oraciones pdf,La fe en la oración 132 oraciones pdf,,,Python
https://devfolio.co/projects/treechain-5260,TreeChain,Plant a Tree & Register it on Blockchain.,,,"PHP, HTML, CSS, Blockchain"
https://devfolio.co/projects/quark-ad91,Quark,NFT Marketplace in an interactive 3D experience,,,"Solidity, Blender, Vercel, nextjs, Hardhat, ThreeJS, Polygon, Stitches, Magicavoxel, Poimandres"
https://devfolio.co/projects/cuisiner,Cuisinier,Cuisinier is a smart solution that aims to provide the best out of your money spent on ingredients.,,,"Firebase, Django, PyTorch, Flutter"
https://devfolio.co/projects/medieasy-4c3f,MEDIEASY,"MEDIEASY is a Fully Optimized and Responsive web App that lets you find out nearby hospitals around your location, distance and necessary information at the time of your emergency.",,,"React, Ant Design, Redux, Express.js, MongoDB, mongoose, Node, React-Bootstrap"
https://devfolio.co/projects/decentralized-personal-health-record-application-335c,DECENTRALIZED PERSONAL HEALTH RECORD APPLICATION,"This project aims to create a decentralized system for storing and sharing health data. By using blockchain technology, we can ensure that data is secure and can only be accessed by authorized party",,,"Solidity, MetaMask, JavaScript, Remix IDE, Web3, Ethereum, Blockchain, Etherscan, Smart Contracts, Nodejs"
https://devfolio.co/projects/pixel-police-a4c5,Pixel Police,A protocol that enables organisations to verify that digital content(image or video) is not GenAI/ Deepfake,,,"Solidity, Rust, React Native, TypeScript, React.js, Rollup, risc0, zkvm"
https://devfolio.co/projects/shatranj-fc30,Shatranj,"The classic game of chess with a modern prize for winning. Play with $ASHF, winner takes it all.",,,"Solidity, React, MetaMask, Next.js, Socket.IO, Python, ethers.js, PostgreSQL, TypeScript, Polygon"
https://devfolio.co/projects/spoify-c3cb,Spo3ify,A web3 Music and Video player which benefits both creators and users. Creators can mint and share music and videos as NFTs.,,,"Solidity, remix, Biconomy, HTML/CSS, Livepeer, React.js, Superfluid, Polygon, moralis, Gelato"
https://devfolio.co/projects/deflix-7522,Deflix,Tired of monthly payments? We care about your time and so your money :),,,"Node.js, JavaScript, Matic, web3j, Portis, React.js, Superfluid"
https://devfolio.co/projects/reactlinkpreview-46ce,react-link-preview,"A React component that renders beautiful, fully customizable link previews.",,,"React, TypeScript, Heruko, Rollup, Jest, Storybook"
https://devfolio.co/projects/upi-cryptoconnect-ce5c,UPI CryptoConnect,Revolutionary finetch application that brings the crypto transactions and finance transactions under the same umbrella through UPI.,,,"Solidity, Node.js, Express.js, AAVE, MongoDB, Ethereum, Remix (IDE), React.js"
https://devfolio.co/projects/kaching,Ka-ching,The one-stop-shop to generate fundings for all your open-source projects.,,,"React, Node.js, MongoDB, Google Cloud Platform (GCP)"
https://devfolio.co/projects/minirti-system-9a27,Mini-RTI System,"""TRANSPARENT Governance is the key to remove the CORRUPTION"", and the Mini-RTI system tries to implement this mission. It will help in DEVELOPMENT and eliminate Frauds and Scams in our country.",,,"React, JavaScript, TypeScript, SCSS, CSS3​, HTML5​, Affinidi API"
https://devfolio.co/projects/ai-story-generator-71f6,AI Story Generator,Creativeness of AI and Human combined,,,"Bootstrap, Django, SQLite, OpenAi, AI/ML"
https://devfolio.co/projects/bus-stop-simulation,BUS STOP SIMULATION,Bus stop simulation is an open GL computer graphics project using open GL function it is a user interactive program where in the user can view the required display by making use of the input devices l,,,
https://devfolio.co/projects/crscndo,CR3SC3NDO,An automated 3D music visualizer,,,"JavaScript, Machine Learning, Artificial Intelligence, Python, Blender, Express.js, Virtual Reality, Processing, animation"
https://devfolio.co/projects/talktocode-0a26,TalkToCode,"Understanding thousands of lines of code just got easier. Navigate complex codebases, get automated documentation, and real-time explanations.",,,"Django, GitHub, gemini"
https://devfolio.co/projects/disney-mystery-coloring-book-by-numbers-pdf-a9d6,Disney mystery coloring book by numbers pdf,Disney mystery coloring book by numbers pdf,,,Python
https://devfolio.co/projects/lunarpay-crypto-payments-5815,LunarPay Crypto Payments,"Everything needed to accept crypto payments. Hosted payment pages, Webhook Integration, support for recurring payments with smart invoices, support for one-time charges and best in class security.",,,"Solidity, Node.js, TypeScript, Cron Scheduler, CryptoJS, React.js, GSAP, Truffle Suite, Web3js, moralis"
https://devfolio.co/projects/farmsconnect-3be3,FarmsConnect,One Place For All The Farmers,,,"Node.js, Express.js, MongoDB, MongoDB Atlas, mongoose, React.js, Solidity ( For writing Smart Contracts ), Hardhat ( Development Enviroment ), Blockchain : Polygon, Instagram-clone"
https://devfolio.co/projects/buzz-tv-channel-list-pdf-910e,Buzz tv channel list pdf,Buzz tv channel list pdf,,,Python
https://devfolio.co/projects/transform-014b,3-Transform,Web2 -> Web3 in one click,,,"Solidity, React, Flask, Python, Express, Node, Hardhat, Bash, GoogleAuth"
https://devfolio.co/projects/camsafe,CamSafe,"CamSafe is a smart intruder preventive platform which primarily uses CCTV camera and sends corresponding alert information to the owner once it detects an intruder.
API USED-SPONTIT, WOLFRAMALPHA",,,"HTML, CSS, JavaScript, OpenCV, Machine Learning, Tkinter, Python, WolframAlpha, Spontit"
https://devfolio.co/projects/medicai-425f,Medic.AI,Unleashing the Power of AI to Predict Diseases.,,,"Flask, Postman, reactjs, GCP, Filecoin, flow"
https://devfolio.co/projects/bicaption-268d,BICaption,"Our vision is to create a one-stop destination for photographers which can guide them, train them with skills, provide mentorship to them and get them jobs consistently and continuously.",,,"Django, JavaScript, Python, Tailwind CSS, CSS3​, HTML5​"
https://devfolio.co/projects/player-known-battle-grounds,Player Known Battle Grounds,The Chicken Dinnner just got augmented-ly real!,,,"Firebase, ARCore, TensorFlow, ML Kit"
https://devfolio.co/projects/pragati-progress-begins-at-home-9220,Pragati ~ Progress begins at home,"Web app for underdeveloped but talented women to become financially independent by allowing them to post self-made products/services with Women in News, Ask Desk for guidance and Emergency SOS service",,,"Bootstrap, Node.js, JavaScript, Heroku, Git, HTML5, Postman, CSS3, MongoDB, Sentiment Analysis"
https://devfolio.co/projects/ewaste-management-and-solutions-383d,E-Waste Management System,We have made a fully responsive E-Commerce website where people can sell and buy E-waste.,,,"Flask, CSS3, HTML/CSS, HTML5​"
https://devfolio.co/projects/incognitogpt-ff52,IncognitoGPT,Your Secrets are Safe in Conversation,,,"Solidity, React, JavaScript, Flask, Python, ethers.js, Google Cloud Platform (GCP), LLaM, GenAI, Vicuna"
https://devfolio.co/projects/food-ordering-system-1,Food Ordering System,Order food on the go.,,,C
https://devfolio.co/projects/masterfile-5730,redacted,redacted,,,redacted
https://devfolio.co/projects/validia-5ff2,Validia,"Proven Integrity, Instantly Verified.",,,"Solidity, React js, nextjs, Hardhat, TailWindCSS, Supabase, Wagmi, Shadcn, Lisk, Xellar"
https://devfolio.co/projects/solmates-0b85,SolMates,Marriages on the blockchain can last till eternity!,,,"IPFS, Docker, Rust, nestjs, TypeScript, Web3, React.js, Solana, metaplex, QR Code"
https://devfolio.co/projects/el-secreto-de-aprender-a-invertir-yoel-sardinas-pdf-7784,El secreto de aprender a invertir yoel sardiñas pdf,El secreto de aprender a invertir yoel sardiñas pdf,,,Python
https://devfolio.co/projects/ai-powered-image-caption-generation-9f5c,AI powered Image Caption Generation,An AI powered image caption generation website that will use neural network models to generate captions of all images in a dataset and give the results in an excel file.,,,"NumPy, OpenCV, pandas, Python, PIL, pickle, Tensorflow V2.0"
https://devfolio.co/projects/gofit-f48b,GoFit,Cuz' staying fit is not a game : ),,,"Flutter, Three.JS, Firebase Authentication, Firebase Realtime Database, accelerometer sensor, gyroscope sensor"
https://devfolio.co/projects/pwnhub,PwnHub,Pwn them like you own them,,,"Solidity, React, Node.js, Flask, Docker, Golang, Matic, Microservice Architecture, Ethereum, Portis"
https://devfolio.co/projects/facebmi-1,Face2Bmi,"Here we use an image of user's face and predict his/her BMI(Body Mass Index),Age and Gender.",,,"Keras, NumPy, OpenCV, pandas, Matplotlib, MTCNN, Regex, VGG16, AI/ML"
https://devfolio.co/projects/wonder-arena-0892,Wonder Arena,Wonder Arena offers a seamless onchain gaming experience with walletless onboarding,,,"Unity, Express.js, Stripe, FCL, Cadence, Railway.app"
https://devfolio.co/projects/mysticio,Mystic.io,"You imagine, we Code",,,"React, PyTorch, Python, Adobe XD"
https://devfolio.co/projects/dryver-b596,dRyver,Decentralized Taxi Hailing Mobile App,,,"JavaScript, Express.js, React Native, web3.js, Nodejs, Polygon"
https://devfolio.co/projects/tezwal-1087,Tezwal ✨,Tezwal is a crypto wallet for tezos xtz using tezos as the block chain technology in the backend.🎈 :),,,"Android Studio, Dart, Flutter, Dialogflow, JSON, Blockchain, Google Cloud Platform (GCP), Tezos, Gradle, Hive"
https://devfolio.co/projects/gamers-galaxy,Gamer's Galaxy,"A safe space gaming platform where you can connect with you friends and find strangers whom you vibe with, play games and have some good time",,,"Firebase, Adobe Photoshop, Unity 3D, photon Pun"
https://devfolio.co/projects/mindtrix-verse-c461,Mindtrix Verse,A Web3 interactive world based on a voice story knits podcasters and their communities.,,,"Node.js, Next.js, nest.js, React.js, Cadence"
https://devfolio.co/projects/fintrack-dcb8,FinTrack,"Fintrack is a platform where college students can track their cashflow. wheather money is going in or out, wheather they are spending more or less. Students can also set their monthly savings goals",,,"HTML, Node.js, JavaScript, Express.js, MongoDB, MongoDB Atlas, mongoose, CSS3​"
https://devfolio.co/projects/firstcrypto-a-finance-app-for-millennials-8130,FirstCrypto - A Finance App for Millennials,"A complete financial application on blockchain for millennials with removed technical complexities. Onboard using Social accounts, Pay crypto via UPI, Invest via strategies - all at one place.",,,"React, Vercel, Gnosis Safe, 1inch, Polygon, Scroll, Waku"
https://devfolio.co/projects/cryptridez-0f47,CryptRidez,A decentralized ridesharing application built on Ethereum eliminating the middleman by allowing payments to be made peer-to-peer. It ensures safe transactions between the rider and the driver.,,,"Solidity, Firebase, MetaMask, Ethereum, Ganache, React.js, Truffle"
https://devfolio.co/projects/solcodescom-or-programmable-nft-marketplace-9048,SolCodes | Programmable NFT Marketplace,Elevating Digital Art with Programmable NFTs - SolCodes unlocks a myriad of possibilities for artists to create the next generation of Digital Art,,,"React, JavaScript, Next.js, Rust, TypeScript, Web3, Blockchain, Cryptocurrency, NFT"
https://devfolio.co/projects/jordan-8224,Jordan,Platform for buy and sell second hand shoes and watches,,,"Node.js, CSS, Redux, JWT, Express.js, MongoDB, axios, React.js, Bootstrap​"
https://devfolio.co/projects/project-centauri-d299,Project Centauri,This Project is a take on how the future of Entertainment gonna look like.,,,"React, Node.js, Bulma, Blender, Unreal Engine, Express, Solana, Anchor, SubstancePainter"
https://devfolio.co/projects/ceh-v-pdf-8204,Ceh v13 pdf,Ceh v13 pdf,,,Python
https://devfolio.co/projects/claimgenie,ClaimGenie,AI-Assisted Insurance Claim Processing,,,"Vue.js, npm, Heroku, Twilio, MongoDB Atlas, Nodejs, ANTLR4"
https://devfolio.co/projects/xamprep-website-cd89,XAMPREP WEBSITE,"Prepare for all types of competetive exams ,get a record of your performance.Get to know about different competetive exams and how to prepare for it.",,,"PHP, HTML, CSS, JavaScript"
https://devfolio.co/projects/bharatx-buy-now-pay-later,"BharatX - Buy Now, Pay Later","Buy Now, Pay Later payment option for Tier 2 & Tier 3 cities.",,,"Go, Python, Kotlin, Cassandra"
